Season,Episode,Scene,Character,Line
9,18,0,THE MAID,"Written by Alec Berg, Jeff Schaffer, David Mandel, Kit Boss & Peter Mehlman"
9,18,1,JERRY,Cup of tea with lemon.
9,18,1,GEORGE,What happened to your voice?
9,18,1,JERRY,I was screamin' at hecklers all night. The last time I open for a rodeo.
9,18,1,GEORGE,"Well, Jerry, I been thinkin'. I've gotten as far as I can go with George Costanza."
9,18,1,JERRY,Is this the suicide talk or the nickname talk?
9,18,1,GEORGE,"The nickname. George. What is that? It's nothing. It's got no snap, no zip. I need a nickname that makes people light up."
9,18,1,JERRY,You mean like...Liza!
9,18,1,GEORGE,But I was thinking...T-bone.
9,18,1,JERRY,"But there's no ""t"" in your name. What about G-bone?"
9,18,1,GEORGE,There's no G-bone.
9,18,1,JERRY,There's a g-spot.
9,18,1,GEORGE,That's a myth.
9,18,2,JERRY,"T-bone, the ladies are gonna love ya."
9,18,2,ELAINE,Why did they hire you for a rodeo?
9,18,3,JERRY,They heard I opened for Kenny Rogers once.
9,18,3,ELAINE,Didn't he throw you off a bus in the middle of Alabama or--
9,18,3,JERRY,"Oh, I had that comin' to me."
9,18,3,ELAINE,"You know, Kenny Rogers has a-"
9,18,4,ELAINE,Why did you get a maid?
9,18,4,JERRY,You don't have to whisper. She knows she's a maid.
9,18,4,ELAINE,Where did you get her?
9,18,4,JERRY,I hired her from a service!
9,18,4,MAID,All done.
9,18,4,JERRY,Thank you. Nice job.
9,18,4,MAID,Is this mine?
9,18,4,JERRY,Yeah.
9,18,5,JERRY,What?
9,18,5,ELAINE,"Come on, Jerry. You didn't notice?"
9,18,5,JERRY,Notice what? She's not really even a maid.
9,18,5,ELAINE,Oh.
9,18,5,JERRY,"She wants to be an actress...or a, uh, model...or a dancer...or a...news woman."
9,18,5,ELAINE,Uh-huh. News woman. Yeah.
9,18,6,KRAMER,"Hey. Well, bad news, boys. My life is over. My girlfriend's movin' away."
9,18,6,JERRY,You have a girlfriend?
9,18,7,KRAMER,"Jerry, where have you been?"
9,18,7,JERRY,At a rodeo. Where's she moving?
9,18,7,KRAMER,Downtown.
9,18,7,ELAINE,Downtown New York?
