Season,Episode,Scene,Character,Line
8,7,0,THE CHICKEN ROASTER,Written by Alec Berg & Jeff Schaffer
8,7,2,GEORGE,Why is there no haggling in this country?
8,7,2,JERRY,I guess we like to think we've progressed beyond a knife fight for a
8,7,3,GEORGE,Not me. Everything should be negotiable.
8,7,3,JERRY,Restaurants too?
8,7,3,GEORGE,Absolutely. You're telling me there's no room to move on pasta.
8,7,4,JERRY,"Yea especially zedi, with that big hole."
8,7,5,GEORGE,"Excuse me, how much is this?"
8,7,5,WORKER,Dollar nineteen.
8,7,5,GEORGE,I'll give you a quarter.
8,7,5,WORKER,Get the hell out of here.
8,7,5,JERRY,Tell him forty and no fork.
8,7,5,GEORGE,Thirty.
8,7,5,WORKER,That's it you leave and never come back!
8,7,5,JERRY,How about we leave and come back in a week?
8,7,5,WORKER,Deal!
8,7,5,GEORGE,Alright see? We got something there.
8,7,7,JERRY,Look at the size of that neon light.
8,7,7,KRAMER,"Roger's can't sell chicken around here, we got chicken places on"
8,7,8,JERRY,He is the gambler.
8,7,8,KRAMER,"Well, I gotta meet Newman at the pet store. Helping him pick out a"
8,7,9,JERRY,Try and stay calm.
8,7,9,KRAMER,"Yea, yea."
8,7,11,MAN,Hey Jerry.
8,7,11,JERRY,Seth! Wow what has it been like five years?
8,7,11,SETH,At least.
8,7,11,JERRY,You wanna grab lunch?
8,7,11,SETH,"Uh, I'm actually headed back to the office."
8,7,11,JERRY,Seth it's me. What's more important than catching up with an old
8,7,12,SETH,"Well, I am supposed to be in this meeting."
8,7,12,JERRY,Blow it off. Remember Poli Sci? How many of those did we go to?
8,7,12,SETH+JERRY,"Alright, alright."
8,7,12,JERRY,Whatever happened to Moochie?
8,7,12,SETH,He's dead.
8,7,12,JERRY,Is that right?
8,7,13,GEORGE,I still don't understand how you can call lunch with me a business
8,7,14,ELAINE,What do you think of the catalog?
8,7,14,GEORGE,It stinks.
8,7,14,ELAINE,"There, we just talked business."
8,7,14,WORKER,We do have the down comforter and the cookware you liked.
8,7,14,ELAINE,"Oh great, put it all on the Peterman account with the other stuff."
8,7,14,WORKER,You know what else we have that you might like?
8,7,14,ELAINE,I'll take it.
8,7,15,GEORGE,"Hey, you like?"
8,7,16,WORKER,I think that looks very nice on you.
8,7,16,GEORGE,Really? Elaine...Peterman account?
8,7,16,ELAINE,Why not? And some hair for my little friend here.
8,7,17,SETH,So how's your stand up career?
8,7,17,JERRY,"Pretty good, as a matter of fact. I almost had my own show in Japan."
8,7,17,SETH,You speak Japanese?
8,7,17,JERRY,No
8,7,17,SETH,"So you would have done it in Japan, but in English."
8,7,18,JERRY,I don't know. So what's this job of yours?
8,7,18,SETH,Big investment firm. We just got the Citibank account. In fact today
8,7,19,JERRY,The meeting you blew off?
8,7,20,SETH,Yea.
