Season,Episode,Scene,Character,Line
4,10,0,THE CONTEST,Written by Larry David
4,10,2,JERRY,Let me ask you a question.
4,10,2,ELAINE,Mm-hm.
4,10,2,JERRY,"You're a hostage, captured by terrorists-"
4,10,2,ELAINE,"Who, me?"
4,10,2,JERRY,"You, anybody - whatever. You're in the little room, you're chained to the floor, you're there for a long time.. do you think they would ever consider doing"
4,10,3,ELAINE,"They have to, it's in the Geneva Convention."
4,10,3,KRAMER,"You! Take off your socks, your pants, your underwear. We're doing the wash. C'mon! Take it off, take it off!"
4,10,4,KRAMER,"Hey, Georgie."
4,10,4,JERRY AND ELAINE,Hi.
4,10,5,JERRY,What's the matter?
4,10,5,GEORGE,My mother caught me.
4,10,5,JERRY,"""Caught"" you? Doing what?"
4,10,5,GEORGE,You know. I was alone..
4,10,5,ELAINE,You mean..?!
4,10,5,GEORGE,Uh-huh.
4,10,5,KRAMER,She caught you?
4,10,6,JERRY,Where?
4,10,6,GEORGE,
4,10,7,JERRY,"""Glamour""?"
4,10,8,GEORGE,"..So, one thing lead to another.."
4,10,8,JERRY,"So, what did she do?"
4,10,8,GEORGE,"First she screams, ""George, what are you doing?! My God!"" And it looked like she was gonna faint - she started clutching the wall, trying to hang onto it."
4,10,8,KRMAER,Man..
4,10,8,GEORGE,"I didn't know whether to try and keep her from falling, or zip up."
4,10,8,JERRY,What did you do?
4,10,8,GEORGE,I zipped up!
4,10,8,ELAINE,"So, she fell?"
4,10,8,GEORGE,"Yeah. Well, I couldn't run over there the way I was!"
4,10,8,ELAINE,"No, I guess you couldn't have.."
4,10,8,JERRY,"No, I wouldn't think so."
4,10,8,ELAINE,..done that.
4,10,8,GEORGE,"So, she fell, and then she started screaming, ""My back! My back!"" So, I picked her up and took her to the hospital."
4,10,8,ELAINE,How is she?
4,10,8,GEORGE,She's in traction.
4,10,8,ELAINE,"Ok, I'm sorry."
4,10,8,GEORGE,"It's not funny, Elaine."
4,10,8,ELAINE,I know. I'm sorry. I'm serious.
