Season,Episode,Scene,Character,Line
7,7,0,THE POOL GUY,Written by David Mandel
7,7,1,GEORGE,Let me ask you a question. Who would win in a fight between you and me?
7,7,1,JERRY,"Well, what do you mean?"
7,7,1,GEORGE,"Well if you and I ever got into, like a really serious fight you know, and the punches started flying -- who do you think would win?"
7,7,1,JERRY,Well I think that's pretty obvious.
7,7,1,GEORGE,Yeah. Me too.
7,7,2,JERRY,Hey Elaine.
7,7,2,ELAINE,Hey.
7,7,2,JERRY,"Who, who, who do you think would win in a fight between me and ah, gorgeous George here"
7,7,2,ELAINE,You mean in a real Fight Fight?
7,7,2,JERRY,Mona a Baldo.
7,7,2,ELAINE,George.
7,7,2,GEORGE,Ah-Ha!
7,7,2,JERRY,Why?
7,7,2,ELAINE,George fights dirty.
7,7,2,JERRY,Really? What would you do?
7,7,2,GEORGE,"Pull hair, Poke eyes, Groin stuff. Whatever I gotta do."
7,7,2,JERRY,Hmm.
7,7,2,ELAINE,"So. Listen ... You're not doing anything tomorrow, are you? Because I have an extra ticket to the historical clothing exhibit at the Met."
7,7,2,JERRY,I'm sorry.
7,7,2,ELAINE,George?
7,7,2,GEORGE,Would I want to see what Mary Todd wore to Lincoln's funeral?
7,7,2,ELAINE,There's nobody I can go with.
7,7,3,ELAINE,You know what. I don't have one female friend left.
7,7,3,KRAMER,"Oh, no, of course you don't. You're a Man's Woman. You hate other women, and they hate you."
7,7,3,ELAINE,Thank you.
7,7,3,KRAMER,"So Jerry, What time we going to the movies?"
7,7,3,JERRY,"Ah, how about 8:30?"
7,7,3,KRAMER,Saddle up and ride.
7,7,3,JERRY,You want to get something to eat first?
7,7,3,KRAMER,"No, I'm good."
7,7,3,GEORGE,"I wonder if, ah, Susan ... No. I better just go. heh. All right! See ya."
7,7,3,KRAMER,"There's nothing more pathetic, than a grown man, who's afraid of a woman."
7,7,3,JERRY,"Hey, why don't cha ask Susan?"
7,7,3,ELAINE,George's Susan?
7,7,3,JERRY,Yeah.
7,7,3,ELAINE,"Yeah. Why not Susan. I should be friends with Susan. Of course! Susan! Oh! OK, I'll see you guys. Huh."
7,7,3,KRAMER,That's gunna be trouble.
7,7,3,JERRY,Why?
7,7,3,KRAMER,"Jerry, don't you see? This world here, this is George's sanctuary. If Susan comes into contact with this world, his world's collide. You know what happens then?"
7,7,4,KRAMER,Ka shha shha shha Pkooo
7,7,5,KRAMER,Did I tell you I'm getting a new telephone number?
7,7,5,JERRY,How come?
7,7,5,KRAMER,"Whew, chicks man. Too many chicks know my number."
7,7,6,RAMON,Hey Jerry. How are you Mr. Backstroke?
7,7,6,JERRY,"Kramer this is Ramon, from the new health club I joined."
7,7,6,KRAMER,"Oh, yeah."
7,7,6,RAMON,So you know what happened don't chu?
7,7,6,JERRY,No what?
7,7,6,RAMON,I got fired.
7,7,6,JERRY,Really?
7,7,6,RAMON,"Yeah, said I put too much chlorine in the pool."
7,7,6,JERRY,Ahh.
7,7,6,RAMON,"Hey well, ah, stay out of the deep end, eh."
7,7,6,JERRY,
7,7,6,KRAMER,What's in the deep end?
7,7,8,GEORGE,Hello?
7,7,8,ELAINE,Hey George.
7,7,8,GEORGE,Hey Elainie. What's going on?
7,7,8,ELAINE,"Nothing much, um. Can I talk to Susan"
7,7,8,GEORGE,"Ha, Yeah right, hang on, I'll ah, I'll get her for you. he, he,"
7,7,9,ELAINE,"No, George really. Can I talk to Susan?"
7,7,9,GEORGE,"Susan, why?"
7,7,9,ELAINE,Because I want to ask her to lunch and to the Met tomorrow.
7,7,9,GEORGE,"Oh, I don't think you want to do that."
7,7,9,ELAINE,Why not?
7,7,9,GEORGE,Well what would be the point of that?
7,7,10,ELAINE,"George, are you going to put her on the phone?"
7,7,10,GEORGE,Where did this come from all of a sudden?
7,7,10,ELAINE,"George, are you going to let me talk to Susan, or Not?"
7,7,10,GEORGE,I really think I should have been consulted about this.
7,7,12,GEORGE,Here ... something.
7,7,12,SUSAN,"Hello? Oh, that sounds great. I love"
7,7,20,KRAMER,You want to sit here?
7,7,20,JERRY,"Yeah. Uh, uh, oh, oh,"
7,7,21,KRAMER,Why?
7,7,21,JERRY,Little buffer zone.
7,7,21,KRAMER,Buffer zone
7,7,21,JERRY,Thank you. If we were in my apartment and we were watching a
7,7,22,KRAMER,No. You got a point.
7,7,22,JERRY,All right.
7,7,22,KRAMER,I can't ...
7,7,22,JERRY,What are you doing?
7,7,22,KRAMER,Well these seats have no lumbar.
7,7,22,JERRY,"Oh hey, there's Ramon. Pre, pretend we're talking."
7,7,24,KRAMER,We are talking.
7,7,24,JERRY,Pretend it's interesting.
7,7,24,KRAMER,"So, ah then, I ah had to kill him and ah, well the police are"
7,7,25,JERRY,"Oh yeah that's shocking, but sounds"
