Season,Episode,Scene,Character,Line
3,19,0,THE GOOD SAMARITAN,Written by Peter Mehlman
3,19,2,ELAINE,"You know it's bad enough you have a car phone, you have to use the"
3,19,3,JERRY,It's safer! Plus it's more annoying to the other person.
3,19,4,JERRY,Oh look at this guy.
3,19,4,ELAINE,What's goin' on?
3,19,4,JERRY,"Oh there's a guy trying to get in front of me, he has to ask"
3,19,5,ELAINE,Did you get a thank you wave?
3,19,5,JERRY,"No, nothing. How could you not give a thank you wave? Hey buddy!"
3,19,7,JERRY,Give me that wave!
3,19,7,ELAINE,"Jerry, are you free on Friday?"
3,19,7,JERRY,"Yeah, I'm free, why?"
3,19,7,ELAINE,"Ah, God, I bumped into Robin Sandusky today, she asked me to have"
3,19,8,JERRY,Oh my God! You won't believe what I just saw! A car just bashed into
3,19,9,ELAINE,You gotta follow that car!
3,19,9,JERRY,What?!
3,19,9,ELAINE,You can't let him get away with that!
3,19,9,JERRY,"Elaine, the guy could be dangerous."
3,19,9,ELAINE,"What are you, yellow?"
3,19,9,JERRY,I'm not yella.
3,19,9,ELAINE,"Jerry, if you don't follow him, you're yella."
3,19,9,JERRY,"Wait, he stopped, he's parking."
3,19,9,ELAINE,What? What? I can't hear you. Jerry?
3,19,11,JERRY,"Uh, excuse me, uh, I was uh, driving behind you, uh, a few blocks"
3,19,17,JERRY,So I wound up going out for a decaf cappuccino with her.
3,19,17,GEORGE,Boy! What a story! I'm speechless. Speechless. I have no speech.
3,19,17,JERRY,"You know, I really liked her. We talked. We flirted. And when she"
3,19,19,JERRY,"He, he, he."
3,19,19,GEORGE,I love when they touch your arm. I can't get enough of that. Why is
3,19,20,JERRY,Let's not even analyze it.
3,19,21,GEORGE,So you didn't turn her in?
3,19,21,JERRY,I wanted to but I couldn't go through with it.
3,19,21,GEORGE,Gonna see her again?
3,19,21,JERRY,Friday night.
3,19,22,JERRY,Yep.
3,19,22,ELAINE,It's me!
3,19,22,JERRY,Come on up.
3,19,23,JERRY,"By the way, Elaine does not need to know about anything."
3,19,23,GEORGE,"Hey, hey, hey! I dig."
3,19,24,JERRY,"Oh, you dig?"
3,19,24,GEORGE,Yes! I see enormous potential here.
3,19,24,JERRY,Why?
3,19,25,GEORGE,Because great couples always have a great story about how they met.
3,19,27,JERRY,I wonder if I'm nuts for pursuing this woman at all.
3,19,27,GEORGE,I don't think so.
3,19,27,JERRY,"Look, she slammed into a parked car! She took no responsibility for"
3,19,29,JERRY,"On the other hand, does that mean she should never be allowed to date"
3,19,32,JERRY,"What am I drinking, milk?"
3,19,33,ELAINE,Hey!
3,19,33,JERRY,Hi.
3,19,34,ELAINE,Sweater.
3,19,34,JERRY,Thank you.
3,19,34,ELAINE,So? What happened?
3,19,35,JERRY,With that?
3,19,35,ELAINE,With the car!
3,19,35,JERRY,What car?
3,19,35,ELAINE,The hit and run!
3,19,35,JERRY,"Oh, right, right, right, right, right, right, right, the hit and run."
3,19,36,ELAINE,Queens?! You followed him over the bridge?
3,19,36,JERRY,Over the bridge.
3,19,37,GEORGE,"Oh, well I didn't know you went into Queens Jerry."
3,19,37,JERRY,"Yeah, Queens."
3,19,37,ELAINE,So? Then what?
3,19,37,JERRY,"So he gets out of the car, I say, ""Hey buddy! I saw you hit that"
3,19,39,JERRY,"So I said to him, ""Whatever's necessary."""
