Season,Episode,Scene,Character,Line
6,18,0,THE FUSILLI JERRY,Written by Marjorie Gross
6,18,1,JERRY,I hear you're going out with David Putty.
6,18,1,ELAINE,"Yeah. What, is it a problem?"
6,18,1,JERRY,"Well, I think he could've asked me. Supposed to be a friend of mine."
6,18,1,ELAINE,"Well, I guess he figured you just wouldn't care. It *has* been a few years."
6,18,1,JERRY,"Elaine, you always care who an ex-girlfriend dates. You don't want it to be someone you know, and you don't want it to be someone better than you. Now, even though the latter is *obviously* impossible."
6,18,1,ELAINE,"Oh, god."
6,18,1,JERRY,"The former still applies. I don't know what it is, but I just can't see you with a mechanic."
6,18,1,ELAINE,"Oh, yeah. Right, right. Well, all those mechanics do is work all day with their hands and their *big*, *muscular* arms on machines, and then they come home dripping with animal sexuality like Stanley Kowalski. What a huge turn-off that is."
6,18,1,JERRY,All right.
6,18,2,GEORGE,"Look at that. They got lobster on the menu. Who would order a lobster here. I mean, do they bring a lobster in everyday hoping *todays* the day."
6,18,2,ESTELLE,So what if they have a lobster. Suddenly you're a shell-fish connoisseur.
6,18,2,GEORGE,"You know, I think we really need to be in front of a television set. You take T.V. out of this relationship, it is *just* torture."
6,18,2,ESTELLE,"So, I'm getting an eye job."
6,18,2,GEORGE,"An eye job? Ma, you don't need an eye job."
6,18,2,ESTELLE,"Georgie, I'm a divorcee."
6,18,2,GEORGE,"No, you're not a divorcee. You're just separated. You're---you're a separatee."
6,18,2,ESTELLE,"Well, I'm out there, George."
6,18,2,GEORGE,"No, you're not out there."
6,18,2,ESTELLE,"I am, too!"
6,18,2,GEORGE,"You're not out there! You can't be, because *I* am out there. And if I see *you* out there, there's not enough voltage in this world to electroshock me back into coherence!"
6,18,2,ESTELLE,"Well, anyway, the operation is on Tuesday and I need you to drive me home because I'll be all drugged up."
6,18,2,GEORGE,Tuesday? I can't do it Tuesday. Steinbrenner needs me to run---
6,18,2,ESTELLE,This is the only time the doctor *has*.
6,18,3,GEORGE,"Kramer, hey, hey!"
6,18,3,KRAMER,"Hi, little buddy."
6,18,3,GEORGE,Come on over and sit down.
6,18,3,KRAMER,"Hey, listen, I gotta go somewhere."
6,18,3,GEORGE,"No, you're gonna sit down, you son of a gun..."
6,18,3,KRAMER,"All right, I'm sitting down. How are you? (Kisses Estelle on the"
6,18,4,ESTELLE,"So, Kramer. I'm getting an eye job."
6,18,4,KRAMER,"Oh, yeah, good for you. Hey, you have to look your best. You're"
6,18,6,GEORGE,She's not out there!
6,18,6,KRAMER,"So, who is your doctor?"
6,18,6,ESTELLE,"Uh, Bakersoll."
6,18,6,KRAMER,. He's good. He's *very* good. He worked on this kid
6,18,7,GEORGE,"Hey, Kramer, what are you doing Tuesday?"
6,18,7,KRAMER,Tuesday? Uh...
6,18,7,GEORGE,Why doesn't *he* pick you up after the operation. He's got the car
6,18,8,ESTELLE,"Oh, I don't care."
6,18,8,KRAMER,"Yeah, I know, but I can't drive anybody anywhere until I go down to"
6,18,9,GEORGE,"Well, giddy-up!"
6,18,10,KRAMER,"Yeah, I'm here to pick up my new plates. My name is Kramer. Cosmo"
6,18,11,CLERK,Kramer.... All right...
6,18,11,KRAMER,All righty...
6,18,11,CLERK,"Sign right here, please."
6,18,11,KRAMER,Okay. . Thanks.
6,18,13,CLERK,What's your name again?
6,18,13,KRAMER,Cosmo Kramer.
6,18,13,CLERK,Cosmo Kramer. You *are* the Assman.
6,18,13,KRAMER,No! I'm not the Assman.
6,18,13,CLERK,"Well, as far as the state of New York is concerned, you are."
6,18,18,DAVID,How do you feel?
6,18,18,ELAINE,Fine.
6,18,18,DAVID,Something the matter?
6,18,18,ELAINE,No.
6,18,18,DAVID,Then what is it?
6,18,18,ELAINE,"No, nothing."
6,18,20,JERRY,Hi.
6,18,20,ELAINE,I was with David *Putty* last night.
6,18,20,JERRY,"Yeah, so."
6,18,20,ELAINE,He did the move.
6,18,20,JERRY,What move?
6,18,20,ELAINE,You know...*the* move.
6,18,20,JERRY,Wait a second. *My* move?
6,18,21,JERRY,David Putty used *my* move?
6,18,21,ELAINE,"Yes, yes."
6,18,21,JERRY,Are you sure?
6,18,21,ELAINE,Jerry! There is no confusing *that* move with any other move.
6,18,21,JERRY,I can't believe it. He *stole* my move.
6,18,21,ELAINE,What else did you tell him. (does it
6,18,22,JERRY,"Oh, it wasn't like that! I didn't even mention you. You know, we"
6,18,24,ELAINE,Because of all the pistons and the lube jobs?
6,18,24,JERRY,"Well, I'm going down to that garage and telling him to stop doing it."
6,18,24,ELAINE,"Well, wait---wait a second."
6,18,24,JERRY,What?
6,18,24,ELAINE,Isn't that a little...rash?
6,18,24,JERRY,No! He stole my move!
6,18,24,ELAINE,"Yeah, but...*I* like the move."
6,18,24,JERRY,"Yeah, but it's like another comedian stealing my material."
6,18,24,ELAINE,"Well, he doesn't even do it exactly the same. He--he--he uses a"
6,18,25,JERRY,"Oh, yeah. The pinch. *I've* done the pinch. That's not new."
6,18,27,ELAINE,"You know, it's strange, because he's such an honest mechanic."
6,18,27,JERRY,"I know, he's probably the only honest mechanic in New York."
6,18,29,JERRY,...so he stole my move and he's using it on Elaine.
6,18,29,GEORGE,You told David Putty your move and you didn't tell *me*? I *need* a
6,18,31,JERRY,Can I just get it opened first?
6,18,31,GEORGE,I can't believe you're hoarding sex moves. I'm out there rubbing
6,18,32,JERRY,"All right, all right. Here. (hands George a piece of the candy"
6,18,33,GEORGE,"Oh, that's good. That's very good."
6,18,33,JERRY,You feel better?
6,18,33,GEORGE,"Yeah, much better. All right, so what's the move, because I need"
6,18,35,JERRY,Nancy Klopper?
6,18,35,GEORGE,Yeah. Never seen anyone so bored. I'm working like a dog here.
6,18,37,JERRY,"All right, George. I'm gonna tell you. But I just wanna make sure,"
6,18,38,GEORGE,"Yeah, yeah, yeah. It's in the vault. I'm putting it in the vault."
6,18,38,JERRY,It's not even a question of that. The point is when something like
6,18,40,GEORGE,You're gonna tell me...or not.
6,18,40,JERRY,All right. On your bed. You got a headboard? You'll need a
6,18,41,GEORGE,I got a headboard.
6,18,41,JERRY,Is it padded?
6,18,41,GEORGE,No.
6,18,41,JERRY,Good. How tall is she?
6,18,41,GEORGE,Five-foot four. Why?
6,18,41,JERRY,You can't have more than a one-foot differential in your heights.
6,18,42,GEORGE,I can't tell ya how much I appreciate this.
6,18,42,JERRY,"George, if you could master this, you'll never be alone again."
