Season,Episode,Scene,Character,Line
7,12,0,THE SEVEN,Written by Alec Berg & Jeff Schaffer
7,12,2,JERRY,"I love it when people are complimented on something they're wearing and they accept the compliment as if it was about them. ""Nice tie."" ""Well, thank you. Thank you very much."" The compliment is for the tie, it's not for you, but we take it. That's kind of the job of clothes; to get compliments for us, because it's very hard to get compliments based on your human qualities. Right? Let's face it, no matter how nice a person you are, nobody's gonna come say ""Hey, nice person."" It's much easier to be a bastard and just try and match the colours up."
7,12,5,ELAINE,"Oh, look at this!"
7,12,5,JERRY,"Boy, I miss the days they made toys that could kill a kid."
7,12,6,ELAINE,"Oh, cool! Look at that!"
7,12,10,JERRY,"Yeah, I'm right there with ya."
7,12,10,ELAINE,"That is a Schwinn Stingray! And it's the girl's model! Oh, I always wanted one of these when I was little."
7,12,14,ELAINE,What d'you think Jerry? Jerry?
7,12,14,JERRY,Huh?
7,12,14,ELAINE,What d'you think?
7,12,14,JERRY,"Oh yeah, be great for your paper route."
7,12,14,ELAINE,I love it. I'm getting it.
7,12,15,ELAINE,"Can you help me get it down, Jer? Jerry."
7,12,15,CHRISTIE,I think your friend needs some help over there.
7,12,15,JERRY,"You know, the only way to really help her is to just let her be."
7,12,20,ELAINE,Hey!
7,12,24,SUSAN,A little baby girl?
7,12,24,KEN,Doctor says it could be any day now.
7,12,24,GEORGE,"So, Carrie, you and Susan are"
7,12,26,CARRIE,Doesn't make you anything.
7,12,26,GEORGE,"Well, so, legally, I could marry your daughter."
7,12,28,SUSAN,"So, have you picked out a name yet?"
7,12,28,CARRIE,"Well, we've narrowed it down to a few. We like Kimberley."
7,12,28,SUSAN,Aww.
7,12,28,GEORGE,"Hu-ho, boy."
7,12,28,KEN,You don't like Kimberley?
7,12,28,GEORGE,Ech. What else you got?
7,12,28,KEN,How about Joan?
7,12,28,GEORGE,"Aw c'mon, I'm eating here."
7,12,28,SUSAN,George!
7,12,28,CARRIE,Pamela?
7,12,28,GEORGE,"Pamela?! Awright, I tell you what. You look like nice people,"
7,12,29,KEN,What?
7,12,29,GEORGE,Soda. S-O-D-A. Soda.
7,12,29,CARRIE,"I don't know, it sounds a little strange."
7,12,29,GEORGE,"All names sound strange the first time you hear 'em. What, you"
7,12,30,KEN,"Yeah, but uh... Soda?"
7,12,30,GEORGE,"Yeah, that's right. It's working."
7,12,30,CARRIE,We'll put it on the list.
7,12,30,GEORGE,I solve problems. That's just what I do.
7,12,35,KRAMER,"Yeah, oh boy. Mmm, that's good."
7,12,35,JERRY,You're really going to town with that turkey there.
7,12,35,KRAMER,"Oh yeah, I got a big appetite."
7,12,36,KRAMER,"Uhh, Jerry, you got no mustard, huh."
7,12,36,JERRY,It's on the door.
7,12,36,KRAMER,"What, this yellow stuff?"
7,12,38,KRAMER,"Ah, 's no good."
7,12,41,KRAMER,No. That's bush league.
7,12,42,JERRY,"Hey, hey. Wha... wait... what, you're gonna leave it there?"
7,12,43,KRAMER,"No, no, I can't eat that. You can't eat a sandwich without"
7,12,44,JERRY,"Yeah, you're right. I really should keep more of your"
7,12,45,KRAMER,"Hey, hey, hey. I'm getting a vibe here. What, are you unhappy"
7,12,46,JERRY,What arrangement?
7,12,46,KRAMER,"Well, I was under the impression that I could take anything I"
7,12,47,JERRY,"Yeah, well, lemme know when you get something in there"
