Season,Episode,Scene,Character,Line
0,1,0,STARGATE SG1,Episode 102
0,1,0,"""THE ENEMY WITHIN""",By Brad Wright Briefing Room.
0,1,0,HAMMOND,"Gentlemen, these planets designated P3A-575 and P3A-577 have been submitted by Captain Carter's team as possible destinations for your next mission. SG units 1 and 2 will operate concurrently."
0,1,0,JACK,"You know, I'm kind of partial to P3A-575 if you don't mind taking P3A-577."
0,1,0,KAWALSKY,No I'll take 577.
0,1,0,JACK,I'm not married to it.
0,1,0,KAWALSKY,"No, no it's."
0,1,0,JACK,I want to be fair about it. How about we flip for it?
0,1,0,HAMMOND,How about you go where I tell you. As far as I'm concerned.
0,1,1,WALTER,Inbound traveller! Repeat Inbound traveller!
0,1,1,KAWALSKY,Damn those Goa'uld's are persistent.
0,1,1,JACK,I think we pissed them off.
0,1,1,WALTER,Closing the iris.
0,1,1,HAMMOND,Alert! All defence teams stand by. Set the base auto destruct countdown at 3 minutes.
0,1,1,KAWALSKY,We're not going anywhere as long as the Goa'uld keep up these attacks.
0,1,1,DANIEL,They can't keep them up forever. Can they?
0,1,1,JACK,Whoa!
0,1,1,SAM,Once they realise our Gate's inpenetrable they should just give up.
0,1,1,KAWALSKY,Part of me just wants to let them through. Give them the fight they're looking for.
0,1,2,WALTER,"Radiation team, move in."
0,1,2,JACK,"Well there have got to be worse ways to go, I suppose."
0,1,2,DANIEL,You don't think the Goa'uld are sending people through do you?
0,1,2,JACK,It would be like bugs on a windshield.
0,1,2,WALTER,"Team reports all clear, sir."
0,1,2,HAMMOND,"All right, stand down from alert and abort the countdown."
0,1,3,JACK,Kawalsky. What's the matter?
0,1,3,KAWALSKY,Headache. Took a fistful of aspirin but nothing helps.
0,1,3,JACK,Get down to the infirmary. Get it checked out. Go on.
0,1,3,KAWALSKY,"Sir, I think I'll do that. Sir, with your permission?"
0,1,3,HAMMOND,"By all means Major, I need you to lead your team to P3575."
0,1,3,WALTER,Inbound traveller! Inbound traveller!
0,1,3,HAMMOND,Reset the countdown. Here we go again. All defence teams remain in position.
0,1,3,DANIEL,So this iris is gonna hold right?
0,1,3,SAM,Pure titanium. Less than three micrometers from the event horizon. It won't even allow matter to fully re-integrate.
0,1,3,JACK,": So this iris is gonna hold, right?"
0,1,3,SAM,"If it doesn't, the failsafe device will detonate, this whole mountain will vaporise and there'll be nothing to worry about."
0,1,3,JACK,"Good, I feel much better."
0,1,5,HAMMOND,Come.
0,1,6,HAMMOND,I can understand how Kawalsky feels. This job gives me a headache too.
0,1,6,JACK,What's the bad news General?
0,1,6,HAMMOND,Not much for small talk are you Colonel?
0,1,6,JACK,How was your weekend? Get any fishing in?
0,1,6,HAMMOND,I'm rejecting your request to have Teal'c join SG-1. Wasn't my choice. A Colonel Kennedy is en route from the Pentagon right now. He'll be asking your friend some questions.
0,1,6,JACK,What kind of questions?
0,1,6,HAMMOND,"What we're up against. Troop strength, technology, weaponry."
0,1,6,JACK,"I'd like to know the answers to those questions too, sir. But after they're done asking them.."
0,1,6,HAMMOND,"There'll be more questions. Possible tests. After all he's carrying the larval form of a hostile, a very formidable enemy, inside his body."
0,1,6,JACK,What kind of tests are we talking about?
0,1,6,HAMMOND,Maybe you haven't noticed Colonel. But he's the first alien species we've actually run into. You don't think that qualifies your friend as a subject of scientific interest?
0,1,6,JACK,Subject?
0,1,6,HAMMOND,He is what he is Colonel.
0,1,6,JACK,"With all due respect Sir, I don't think he saved the lives of my team or came over to our side so he could become a damn guinea pig for US military intelligence."
0,1,6,HAMMOND,Back up Colonel. He switched sides once. Are you 100% positive he won't switch back?
0,1,6,JACK,Yes Sir.
0,1,6,HAMMOND,"Well you're alone in that assertion. Colonel Kennedy arrives within the hour. I promise Teal'c will be treated with dignity and respect for as long as he remains a guest of this facility. Beyond that, I can't promise a damn thing. Dismissed Colonel."
0,1,7,JACK,"Hey, am I interrupting anything?"
0,1,7,TEAL'C,Yes.
0,1,7,JACK,Why don't I come back?
0,1,7,TEAL'C,The people from Chulak?
0,1,7,JACK,We sent the last of them through the Gate just before the Goa'uld started knocking at the door.
0,1,7,TEAL'C,Good.
0,1,7,JACK,Thanks to you. So how long do you think they'll keep it up?
0,1,7,TEAL'C,"One, perhaps two more attempts. They will believe their weapons have destroyed you. They will not send warriors through for some time to make sure of your destruction."
0,1,7,JACK,"Well they'll be in for a surprise, huh?"
0,1,7,TEAL'C,Your iris will be closed. They will be crushed.
0,1,7,JACK,Surprise.
0,1,7,TEAL'C,Am I a prisoner?
0,1,7,JACK,Yeah.
0,1,7,TEAL'C,I understand.
0,1,7,JACK,"We're not exactly living up to your expectations of us, are we? You see, Teal'c, we've been living alone in our little corner of the galaxy for awhile and I think the people I work for, just need to get to know you a little better. I mean your knowledge of the Goa'uld alone makes them a little curious."
0,1,7,TEAL'C,I will give that knowledge freely.
0,1,7,JACK,"Yeah, I know you will and we'll put it to good use."
0,1,7,TEAL'C,I will pledge my allegiance to this world.
0,1,7,JACK,"I'm just not sure that's ever going to be enough for them to trust you. To be honest with you, I think they're scared of you."
0,1,7,TEAL'C,I understand.
0,1,7,JACK,"You must be used to that by now, huh?"
0,1,7,TEAL'C,I am a jaffa. I have served as a warrior for your enemy. I have carried your enemy within me.
0,1,7,JACK,Yeah. Well it's kind of a human thing. We tend to be afraid of things we don't know.
0,1,7,TEAL'C,Why are you not afraid?
0,1,7,JACK,"Teal'c, I saw you stand up to a God and refuse to kill. I saw you make that decision."
0,1,7,TEAL'C,Yes.
0,1,7,JACK,In that moment I learned everything I needed to know to trust you.
0,1,7,TEAL'C,"If I had killed you then, I would not be here now."
0,1,7,JACK,Neither would I.
0,1,7,TEAL'C,I will prove my allegiance O'Neill.
0,1,7,JACK,"Teal'c, I sure wish you didn't have to."
0,1,7,TEAL'C,When I do? You will show me this world?
0,1,7,JACK,Oh you bet. Just not all at once though. It's big.
0,1,8,DOCTOR,"And these headaches Major, they started when you came back from your last mission?"
0,1,8,KAWALSKY,Yeah and they've been getting worse.
0,1,8,DOCTOR,Anybody else on the team experience these symptoms?
0,1,8,KAWALSKY,No. Why?
0,1,8,DOCTOR,It could be a reaction to Gate travel.
0,1,8,KAWALSKY,"Look Doc, just give me a horse pill for the pain, or something. It's a damn headache."
0,1,9,DOCTOR,What's this? You didn't notice this?
0,1,9,KAWALSKY,What? Notice what?
0,1,11,DANIEL,So the device should be on every planet we find. I studied the one on Abydos for months. It's sort of like a..
0,1,11,SAM,Telephone.
0,1,11,DANIEL,I like that. In order to get back home all you have to do is dial Earth. Which is what we're here to talk about so. What is Major Kawalsky doing in the embarkation room?
0,1,12,SAM,"Colonel O'Neill and General Hammond to the embarkation room, now!"
0,1,13,JACK,Charlie?
0,1,13,DANIEL,Major Kawalsky?
0,1,13,KAWALSKY,Jack? What am I doing here?
0,1,14,JACK,"Hey, we gotta a sick man here! Was the Doctor here before?"
0,1,14,KAWALSKY,I don't remember.
0,1,14,WARNER,"Sorry, Dr Nimziki was supposed to be on call. Dr Warner, Chief Surgeon. What's the problem?"
0,1,14,KAWALSKY,Headache.
0,1,14,JACK,"Little more than a headache, Doc. He just had a blackout."
0,1,14,WARNER,We'll do an MRI right away. See what's going on in there.
0,1,14,JACK,"Take care of him, Doc. We need him."
0,1,15,KENNEDY,Thank you.
0,1,15,HAMMOND,Welcome Teal'c. This is Colonel Kennedy.
0,1,15,KENNEDY,"I'm extraordinarily pleased to meet you, sir."
0,1,15,HAMMOND,"Colonel Kennedy's job is to gather information,knowledge, about our potential enemies."
0,1,15,TEAL'C,I offer my knowledge of the Goa'ulds. I offer myskills as a warrior in defeating them. I pledge my honour and my life to this world.
0,1,15,KENNEDY,Well thank you.
0,1,15,HAMMOND,"This is just an informal meeting, son. Take a seat."
0,1,15,KENNEDY,"I have a lot of questions to ask so if there are no objections. What can you tell us about the power source the Goa'uld use to power their weapons, ships?"
0,1,15,TEAL'C,Nothing.
0,1,15,KENNEDY,I see. Do you yourself have an understanding of the physics behind the Stargate?
0,1,15,TEAL'C,No.
0,1,15,KENNEDY,I see.
0,1,15,TEAL'C,Knowledge of Goa'uld magic is forbidden.
0,1,16,JACK,It's not magic Teal'c. They just want you tothink that. Permission to barge in Sir?
0,1,16,KENNEDY,Colonel O'Neill. I was hoping to meet you. Your mission report from Chulak made for the most engrossing analysis of my career.
