Season,Episode,Scene,Character,Line
0,182,0,STARGATE SG1,Episode 910
0,182,0,"""THE FOURTH HORSEMAN""",By Damian Kindler
0,182,1,LANDRY,Colonel Carter. I've read your proposal
0,182,1,CARTER,and?
0,182,1,LANDRY,and...I'm not exactly sure what an aneurism feels like but... I suspect I'm pretty close.
0,182,1,MITCHELL,oh boy...I'm glad I'm not the only one...
0,182,1,LANDRY,can you put this in Laments terms?
0,182,1,CARTER,well simply speaking sir...based on the research that was done on Anubis' genetic experiment Khalek...we believe we may be close to developing...a technology that can inhibit a priors special abilities...
0,182,1,MITCHELL,are we talking about an anti prior gun here...because I don't remember *flick through file* seeing the word gun anywhere...in here...
0,182,1,CARTER,well...it wouldn't be a gun exactly...but that is kind of what made us think it was possible...
0,182,1,JACKSON,Because I was able to shoot Khalek while he was focused on defending himself from...*points at Mitchell*...you
0,182,1,CARTER,Which meant he wasn't omnipotent...
0,182,1,LANDRY,You think the Priors are the Same...
0,182,1,CARTER,We've identified specific potions of the brain that were active when khalek was using his unique abilities...
0,182,1,JACKSON,Now he had those abilities because he was at a much higher evolved state very close to ascension... now...we're hoping that the Ori are affecting the priors in much the Same way.
0,182,1,CARTER,Dr Lee and I are working on a way of targeting and neutralizing those higher brain functions...using a field generator emitting fluctuating ultrasonic frequencies...
0,182,1,LANDRY,And my headache was just going away...
0,182,1,CARTER,I don't want to sound...overly optimistic sir...but I think we may be close to testing in a couple of days.
0,182,1,LANDRY,hmmm...I would like to report that something positive came out of that whole Khalek situation...
0,182,1,CARTER,Yes sir...
0,182,1,LANDRY,Keep me posted. *they all stand as he leaves...*
0,182,1,CARTER,"*sits, small frown*...he didn't look too impressed..."
0,182,1,MITCHELL,Oh trust me...anti-prior gun...would have gone down better...
0,182,1,CARTER,*takes a deep breath* yeah...
0,182,2,GERAK,if the Jaffa at Kalana had heeded the wisdom of the priors they would all still be alive today.
0,182,2,BRA'TAC,*stands* The Jaffa at Kalanna were defending themselves against the military incursion. The Ori were attempting to construct a means via which to invade our galaxy and attack us.
0,182,2,GERAK,they offered us the wisdom of the ages *tapping book of origin* and everlasting life...and we met that with Force *Teal'c enters*
0,182,2,BRA'TAC,were their actions not justified? Thousands of lives were lost.
0,182,2,GERAK,all the more reason why we should respect their power.
0,182,2,BRA'TAC,if you are suggesting we have no other choice but to acquiesce that would be cowardice. *Gerak heads for Bra'tac*
0,182,2,TEAL'C,Gerak!!
0,182,2,GERAK,"*looks at Teal'c, then at Bra'tac, he holds up book of origin* I believe their intentions are pure. They offer us enlightenment...knowledge...salvation...all of these things can be ours if we have the courage to embrace our destiny."
0,182,2,KA'LEL,*stands* I believe a recess is in order. The council will deliberate on Gerak's proposal.
0,182,3,TEAL'C,I came as soon as I heard.
0,182,3,BRA'TAC,Gerak has proposed that the religion of the Ori should be adopted by all Jaffa
0,182,3,TEAL'C,as law?
0,182,3,BRA'TAC,*nods* to be taught to our children...its benedictions and traditions followed to the letter. Should it be ratified by the council all Jaffa have no choice but to accept the Ori as gods.
0,182,3,TEAL'C,true belief cannot be legislated. Surely the council must know this is beyond their purview.
0,182,3,BRA'TAC,but Gerak seems to have swayed many. He is convinced that the Ori represent the true gods we have all sort for generations...and that only by worshipping them can we finally find peace and enlightenment.
0,182,3,TEAL'C,then he is a fool and must be revealed as such.
0,182,3,BRA'TAC,Gerak is many things...but he is no fool Teal'c. because of us... too many Jaffa now know that the ancients of this galaxy will never offer us a quick path to ascension
0,182,3,TEAL'C,still...the Ori are not the answer
0,182,3,BRA'TAC,no... but Gerak is old...as are many of the council... for them the Ori represent hope for life beyond that which we now know...for that reason alone this proposal will carry weight...
0,182,4,LEE,w- A couple of days?
0,182,4,CARTER,well...we'll just have to...roll up our sleeves and burn some midnight oil if we have to...
0,182,4,LEE,Midnight oil...why didn't you just tell him we'd come up with a viable mean of creating cold fusion while you're at it...
0,182,4,CARTER,"...sure if you've got something *grins, winding him up*"
0,182,4,LEE,"*chuckles*...no...uh look...I mean...all we have is a bunch of uncorrelated data *Carter in background sticking in earphones* and... and a theory...I mean I admit...it's a pretty...a pretty sound theory ...if you pardon the pun *giggles to himself...* ultrasonic waves...ah...that's good...anyways its going to be a matter of months before we get...get it... *as if realizing something* oh...I see...I understand... this is your first project back...from area 51...and you just...you just want to impress everybody *turns to face her* right...*trails off, Carter just getting on with her work* Can you hear me?!"
0,182,4,CARTER,"*looks up, pulls out earphones* what?"
0,182,4,LEE,"I...uh...i...no...right. Sleeves up and...working *turns back, Sam grins puts back in ear phones.*"
0,182,6,LAM,It's colonel Barnes. About 3 hours ago he came in complaining of fatigue...about an hour after that...he could barely stand...high fever... chest pain... respiratory distress...sound familiar?
0,182,6,LANDRY,you're certain it's the Same?
0,182,6,LAM,he's displaying identical symptoms as the people who were infected on 412. it's a prior plague. We have to find Lt Fisher.
0,182,7,LAM,and fast.
0,182,7,HAMMOND,"in my many years of service I have met with many men and women in uniform around the world. Active guard and reserve both on the front lines and those here at home, and then as now...I am continually amazed by your courage...dedication and patriotism...our airmen...soldiers...sailors and marines are symbols of the pride and strength of this nation be proud of what you do...you make your nation stronger and our world safer. Thank you."
0,182,8,LIVEL,Back away...Back away...Lt Fisher?
0,182,8,FISHER,Yes sir...
0,182,8,LIVEL,you're gonna have to come with me immediately...*he's dragged to Van* come on back away... in here please.
0,182,9,LANDRY,You cleared SG-6 when they returned from 885.
0,182,9,LAM,I approved their clearance yes. We've been taking extra precautions...since the outbreak on 412 but...you can't test for a virus that you don't know exists...this strain has a completely different genetic makeup...and what's worse it seems to be mutating right before our eyes...
0,182,9,MITCHELL,*runs up behind them* Sir! They found Fisher...they're bringing him in...and everyone at the speech has been quarantined...
0,182,9,LANDRY,Barnes says he thinks Fisher was the one who made direct contact with the Prior.
0,182,9,LAM,Airman Ryan is showing early symptoms... Lt Brooks has been Quarantined as well sir. We have no way of knowing who Fisher may have come in contact with prior to leaving this base...or how far this thing has spread.
0,182,10,FISHER,it was a couple of days before we left the planet...Airman Ryan and I went to morning prostration...the prior was there preaching.
0,182,10,MITCHELL,*hits intercom* you had no idea your cover had been blown?
0,182,10,FISHER,no sir... there was no way anybody from that planet could of known we were from earth...uh... the prior walked among us touching people on the head...it was some sort of benediction...
0,182,10,MITCHELL,uh wai-wait a minute he touched...*grabs intercom* sorry he touched you on your head?
0,182,10,FISHER,uh...I'm sorry sir... if I had realized it was so important I would have put it in my report.
0,182,10,MITCHELL,"...*grabs intercom* that's alright Lt. Thank you. *lets go, to Lam* so how come he isn't sick?"
0,182,10,LAM,I'm guessing it's because he's just a carrier...if he got sick and died from the virus...it wouldn't spread very far would it?
0,182,10,LANDRY,*enters* Colonel. Dr Lam. A word. *they head out*
0,182,11,LANDRY,what have you got?
0,182,11,LAM,he's definitely patient zero.
0,182,11,LANDRY,ah...the team on site at Peterson just reported that two other people in the crowd at general Hammonds speech are displaying symptoms and have tested positive...the general himself is fine.
0,182,11,MITCHELL,that's good sir... what about the restaurant and gas station Fisher stopped at on his way into town?
0,182,11,LANDRY,the CDC has mobilized units to try and contain the situation they've sent out bulletins to every hospital and medical facility in the state... anyone showing plague symptoms will be referred to us.
0,182,11,MITCHELL,and do we have a cover story?
0,182,11,LANDRY,a new influenza that first appeared at St Francis medical centre two days ago...we're issuing a press release in hour. Colonel... I'd like you in the field...following up on Lt. Fishers activities... just to be sure.
0,182,11,MITCHELL,Yes sir *heads out*
0,182,11,LAM,You'll have to get scrubbed and stay in Hazmat on the outside...
0,182,11,MITCHELL,*waves* yes ma'am
