Season,Episode,Scene,Character,Line
0,33,0,STARGATE SG1,Episode 213
0,33,0,"""SPIRITS""",By Tor Alexander Valenza Briefing Room
0,33,1,HAMMOND,"""It's our hope that this material may one day help us fight the Goa'uld."""
0,33,1,JACK,"""What is it?"""
0,33,1,HAMMOND,"""Trinium. Captain Conner and SG11 discovered it on a routine exploratory mission on the planet PXY-887."""
0,33,1,SAM,"""Yeah, I remember hearing about this. It's supposed to be 100 times lighter and stronger than steel."""
0,33,1,HAMMOND,"""That's a sample of raw Trinium which is too brittle for manufacturing because of its impurities. We commissioned SG-11 to extract more Trinium samples from the planet. As of this morning, the are 48 hours overdue for the weekly check-in. It's time to find out why."""
0,33,1,DANIEL,"""Any indigenous people on the planet?"""
0,33,1,HAMMOND,"""Well, not according to a preliminary sweep by the UAV."""
0,33,1,JACK,"""Well, it is a big planet, sir."""
0,33,1,HAMMOND,"""True enough, and Conner's people have only scouted within a few miles of the base camp, but they picked up no radio traffic, EM signatures...no sign of any indigenous life whatsoever."""
0,33,2,TECH,"""Incoming traveler!"""
0,33,2,FEMALE TECH,
0,33,2,HAMMOND,"""There'd better be a damned good explanation."""
0,33,3,HAMMOND,"""Everyone all right?"""
0,33,3,JACK,"Oh, no."""
0,33,4,JACK,"""Oh, God."""
0,33,7,JACK,"""Hi, kids."""
0,33,7,SAM,"""We're about ready to ship out, sir. You gonna be ok?"""
0,33,7,JACK,"""I'm not dead, Captain, just grounded for a few days."""
0,33,7,SAM,"""Well, if the bullet-proof glass hadn't slowed it down."
0,33,7,JACK,"""Oh, please, aliens are always poking me full of holes."""
0,33,7,SAM,"""Right."""
0,33,7,DANIEL,"Y ou might be interested to know that the arrow was native North American, but of advanced design."""
0,33,7,SAM,"""Our preliminary tests show it was made of pure forged Trinium. If there are Native Americans on this planet, they've come a long way, technologically, in the past few hundred years."""
0,33,7,DANIEL,"""And we just marched in and started mining."""
0,33,8,HAMMOND,"""I've just talked to the Pentagon. While they're obviously concerned about finding SG-11, they also want to avoid further upsetting the indigenous people."""
0,33,8,SAM,"""Meaning the don't want to risk losing the Trinium."""
0,33,8,HAMMOND,"""You're secondary objective is to negotiate a mining treat with these people. Obviously, we've started our relations on the wrong foot."""
0,33,8,JACK,"""But that's so rare, sir."""
0,33,8,HAMMOND,"""Captain, as you are taking over command of SG-1 on this mission, my superiors have ordered me to remind you to be diplomatic."""
0,33,8,SAM,"""Yes, sir."""
0,33,8,JACK,"""Just as I would be."""
0,33,8,HAMMOND,
0,33,8,JACK,Carter.
0,33,8,SAM,"""Colonel?"""
0,33,8,JACK,"""First command?""""Cool."""
0,33,8,SAM,"""I'll do my best, sir."""
0,33,8,JACK,
0,33,8,SAM,"""Thanks."""
0,33,9,TEAL'C,"""Captain Carter, I am outside the blasting site. It appears to be deserted. I will investigate further."""
0,33,9,SAM,"""Affirmative. At location now."""
0,33,11,DANIEL,"""Currently extracting an average of 47 pounds of Trinium ore per day to increase our production four fold as the engineers have requested. It's a requisition request from Captain Conner. He just stops in mid sentence."""
0,33,11,SAM,"""Looks like they all stopped what they were doing and just left."""
0,33,12,TEAL'C,
0,33,12,SAM,"""So SG-11 was taken by surprise before the second charge went off."""
0,33,12,TEAL'C,"""That was my first conclusion, but there were no footprints leading away from the mine. It's as if they disappeared where they were standing."""
0,33,12,DANIEL,"""Creepy."
0,33,13,TEAL'C,
0,33,13,DANIEL,"""Ghosts?"""
0,33,13,TEAL'C,"""Jaffa do not believe in such things."""
0,33,13,SAM,"""Let's see if we can't find something more tangible."""
0,33,14,TEAL'C,"""Captain Carter!"""
0,33,15,SAM,"""Trinium, just like the arrow."" ""Can you interpret it Daniel?"""
0,33,15,DANIEL,"""It's a clan crest, I believe, akin to the style of the central coast Salish Indians. It...it tells the story of the clans origin. This one tells of how they were brought here from a distant planet by evil rulers. Now, according to this figure , uh, the evil rulers were probably Jaffa, taking them from Earth."""
0,33,15,SAM,"""So this was once a Goa'uld planet?"""
