Season,Episode,Scene,Character,Line
0,38,0,STARGATE SG1,Episode 218
0,38,0,"""SERPENTS SONG""",By Katharyn Michaelian Powers Offworld
0,38,2,DANIEL,Shouldn't they be here by now?
0,38,2,JACK,Yes.
0,38,2,TEAL'C,I do not believe the Tok'ra would mislead us.
0,38,2,DANIEL,"Well, assuming it was the Tok'ra who sent us the message to meet them here in the first place. I mean all we really received was a set of co-ordinates."
0,38,2,SAM,"But on our radio frequencies, who else would send us a signal like that"
0,38,2,JACK,"You know I'm not really too crazy about, this don't call us we'll call you policy."
0,38,2,TEAL'C,There!
0,38,3,JACK,Cover up!!
0,38,4,JACK,Holy Buckets
0,38,4,APOPHIS,help me.
0,38,5,JACK,Well.
0,38,5,DANIEL,Wow! Is that who I think it is?
0,38,5,APOPHIS,Tau'ri please
0,38,6,SAM,Teal'c! Apophis is much more valuable to us alive than dead.
0,38,7,SAM,Sir. We've got incoming.
0,38,8,JACK,"Oy. Alright, Dial us up, get us out of here!"
0,38,8,SAM,What are they doing?
0,38,8,TEAL'C,They wish to take Apophis alive.
0,38,10,HAMMOND,Colonel?
0,38,10,JACK,General Hammond.... Apophis. Apophis. General Hammond.
0,38,10,HAMMOND,We've met.
0,38,10,APOPHIS,I demand Kel'mac!
0,38,11,DANIEL,I'm not really sure but I think what he's asking for is...
0,38,11,TEAL'C,Sanctuary.
0,38,11,DANIEL,Right.
0,38,11,HAMMOND,Why?
0,38,11,JACK,I think some rival Goa'uld just kicked his ass.
0,38,11,SAM,"There were several other death gliders in pursuit when we took him prisoner, sir."
0,38,11,APOPHIS,I demand Kel'mac
0,38,11,HAMMOND,"You're not in a position to demand anything, sir. Lock him up."
0,38,11,JANET,"Sir, with all due respect, he is badly injured he is not going to be any use to you if we don't get him to the OR right now."
0,38,11,HAMMOND,Do what you need to keep him alive doctor. We got a lot of questions that need answers.
0,38,11,JANET,Yes sir. OK lets move him. Let him start on two IV's and I wanna run ringer's lactate wide open. Lets go.
0,38,11,HAMMOND,"I want four SF's posted at all times, if he attempts to escape, you're authorized to do what ever is necessary to stop him."
0,38,11,HAMMOND,We'll debrief at 1100hrs.
0,38,11,JACK,Yes sir.
0,38,13,JANET,"Both femurs were smashed and there was eternal bleeding, Surgery and transfusions have stabilized him for now."
0,38,14,TEAL'C,The Goa'uld symbiote within him will repair those injuries
0,38,14,JANET,"Well, I think it's kept him alive so far Teal'c. but take a look at his monitors. See what you're looking at is the actual symbiote attached to the Hosts brainstem. Have you seen these lesions? I mean these dozens of them. I can treat the Human part but as for the symbiote itself."
0,38,14,SAM,There is no treatment. He's been tortured.
0,38,15,JACK,Sam?
0,38,15,SAM,"I just had a memory of Jolinar in pain, when she was killed by the Ashrak.The ashrak had this device. He used it on us. It was used to cause incredible pain. Apophis was tortured by the same thing."
0,38,16,HAMMOND,So he's dying.
0,38,16,JANET,Yes sir
0,38,16,HAMMOND,you're sure about this?
0,38,16,JANET,As sure as I can be sir. Considering what we know of Goa'uld physiology.
0,38,16,JACK,Good. When?
0,38,16,JANET,"Without access to a sarcoughacus the Goa'uld body will continue to deteriorate, we're looking at days, weeks certainly."
0,38,16,SAM,"This kind of torture wasn't designed to extract information, it's a method of execution."
0,38,16,JACK,So what does he want?
0,38,16,DANIEL,"You heard him yourself, he wants sanctuary."
0,38,16,JACK,I'm not buying that.
0,38,16,DANIEL,"He gambled that we would show compassion even to our worst enemy, and he was right."
0,38,16,JACK,You think he orchestrated this. Let me tell you something. The only compassion I showed was not blowing his head off.
0,38,16,TEAL'C,"I have witnessed once powerful Goa'uld enter the service of their conquerors in exchange for life. When Apophis himself, was a conqueror it gave him great pleasure to see his enemy so weakened."
0,38,16,SAM,But we're along way from being his conquerors.
0,38,16,TEAL'C,But we are greatly responsible for his downfall.
0,38,16,HAMMOND,He lost an Army when you destroyed those two ships in orbit.
0,38,16,SAM,Bra'tac did say that that seriously weakened his place amongst the Goa'uld.
0,38,16,DANIEL,So his blood is in the water and all the other sharks are having a feeding frenzy.
0,38,16,TEAL'C,And he has come here seeking refuge.
0,38,16,JACK,"Well, that's tough. I say we beat any information we can out of old snake boy and toss him back to the sharks."
0,38,16,HAMMOND,Not so fast colonel. He's essentially a prisoner of war. That gives him certain rights.
0,38,16,JACK,"Rights, General?"
0,38,16,SAM,"We also have to consider the host, I'm sorry sir but we are dealing with two beings within one body. The symbiote may be an enemy but the host is innocent."
0,38,16,JACK,"Oh, come on, how much of the host do you think is still around after all this time."
0,38,16,TEAL'C,Apophis will have that knowledge.
0,38,16,HAMMOND,We also need to consider military intelligence. I have informed my superiors about our situation. My orders are to extract whatever information we can in the short time we may have.
0,38,16,TEAL'C,He will tell you nothing of use General Hammond.
0,38,16,HAMMOND,If he believes it's in his own interest he might.
0,38,16,DANIEL,We are the only thing that stands between him and whatever Goa'uld is after him on that planet.
0,38,16,HAMMOND,We need answers. Let me know when he's conscious.
0,38,16,JANET,I'll inform you the moment he's ready for questioning sir.
0,38,16,HAMMOND,Dismissed.
0,38,16,SAM,Sir?
0,38,16,JACK,Should of shot him.
0,38,17,JACK,Dr. Frasier. He's awake.
0,38,18,JACK,Don't get too close doc.
0,38,18,JANET,He's not strong enough to do anything to hurt me colonel. He wants to talk to you.
0,38,19,JANET,He asked to speak to you by name.
0,38,19,APOPHIS,O'Neill I am dying.
0,38,19,JACK,My heart bleeds for you.
0,38,19,APOPHIS,You lie poorly. It is you who have done this. You rejoice.
0,38,19,JACK,Not really. What do you want?
0,38,19,APOPHIS,To live.
0,38,19,JACK,Can't help you out there. That's between you and your God.Oh wait a minute. You are your God. That's a problem.
0,38,19,APOPHIS,I'm worth far more to you than you will admit.
0,38,19,JACK,You tell me what are you worth?
0,38,19,APOPHIS,You are still primitive you will be destroyed.
0,38,19,JACK,You don't look like you're up to it.
0,38,19,APOPHIS,Not me. There is another
0,38,19,JACK,Yeah. Who?
0,38,19,APOPHIS,There is much you will learn from me Tau'ri. For that knowledge there is a price. A new host.
0,38,19,JACK,A host?
0,38,19,APOPHIS,"So that I may live, in exchange for all the knowledge of the Goa'uld, secrets of star travel, weapons, our power."
0,38,19,JACK,All that?
0,38,19,APOPHIS,in time more.
0,38,19,JACK,Go to Hell
0,38,19,APOPHIS,A sake of a human life is worth so much. You would risk a world.
0,38,19,JACK,That's right. That's why they call us the good guys. Doc. let me know when he dies.
0,38,19,APOPHIS,Sokar
0,38,19,JACK,What?
0,38,19,APOPHIS,"An ancient and powerful Goa'uld. You have helped him to be come strong. Last of my loyal Jaffa died stealing me from his grasp. He will not rest until I am found, that is why I came here. So that in death I can be assured that you can die with me."
